"Key","Texto","NomeGDT","Quem","Onde","Quando","TipoDeliberacao","DeliberacaoFinal","EmailResponsaveis","NomeAutores","NomeEvento","TituloEvento","Ano","Mes"
106,"""Que a diretoria da CENAPET solicite à SESU/MEC que inclua no “manual de orientações sobre o custeio PET”, a permissão para a compra de alimentos com o uso do custeio pelo PETs que utilizam alimentos como forma de trabalho nas IES do país, dado que o alimento é ferramenta de trabalho para esse público. Que seja feita após apreciação na Assembleia Geral do SUDESTE PET e ENAPET 2020""",GDT 1: Trilhando caminhos para o financiamento do Programa de Educação Tutorial,"","","",Encaminhamento,Aprovado,petbiopontal@hotmail.com,Comissão XX Sudeste PET,SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
107,Que a CENAPET solicite junto ao CNPQ e MEC a atualização dos valores das bolsas de iniciação cientifica e do PET respectivamente. O valor desta atualização deve repor o índice de inflação acumulado desde o último reajuste. Que esta solicitação seja feita após apreciação na Assembleia do Sudestepet e da Assembleia Geral do ENAPET 2020.,GDT 1: Trilhando caminhos para o financiamento do Programa de Educação Tutorial,"","","",Encaminhamento,Aprovado,lu.birolini@gmail.com,"",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
108,"""Solicitação ao MEC de indicação na plataforma SIGPET do responsável legal no MEC e contato dele para tratamento de questões sobre pagamento de bolsas e custeio.""",GDT 1: Trilhando caminhos para o financiamento do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,gabriela.ganzelli225@gmail.com,"",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
109,"""Sugere-se que o aplicativo Bolsa FNDE, que permite o acompanhamento da bolsa nos PET MEC, seja ampliado no modelo do Caixa Tem permitindo transferências e pagamentos pelo aplicativo. Que essa SUGESTÃO seja levada pela CENAPET em sua próxima reunião no MEC",GDT 1: Trilhando caminhos para o financiamento do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
110,"""Que o Cenapet, após a aprovação na Assembleia do XX Sudeste PET, na análise dos relatórios finais referentes ao ano de 2020, reforce aos respectivos CLAAs a não obrigatoriedade de conclusões de atividade envolvendo a tríade, visto que os grupos estão com dificuldade em desenvolver estas atividades remotamente.""","GDT 2: Trilhando caminhos para a indissociabilidade entre ensino, pesquisa e extensão como agente transformador do PET","","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
111,"""Como forma de aproximar a Universidade da comunidade externa, que os PETS possam realizar algum tipo de pesquisa prévia dos anseios do público, por meio de questionários, debates e outros meios. Essa interação pode melhorar as ações de extensão e pesquisa de acordo com as características de cada grupo e analisar se as atividades têm sido adequadas e viáveis com os objetivos propostos.""","GDT 2: Trilhando caminhos para a indissociabilidade entre ensino, pesquisa e extensão como agente transformador do PET","","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
112,"""Cada PET pode criar, dentro de suas capacidades, um Grupo de Estudos de Língua Estrangeira, assim, não faz-se necessário materiais didáticos de difícil acesso e nem aulas presenciais. A leitura de textos de áreas de interesse coletivo e discussão dos mesmos pode auxiliar no entendimento da língua e cumpre com a necessidade apresentada no relatório final.""","GDT 2: Trilhando caminhos para a indissociabilidade entre ensino, pesquisa e extensão como agente transformador do PET","","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
113,"""Quando forem sugeridas pautas para discussão nos GDTs ou outros ambientes de discussão dos eventos regionais ou nacionais, deve haver, por parte de quem sugerir a pauta, uma pequena explicação do que deve ser debatido. Ou caso seja possível, que a pessoa que sugeriu a pauta esteja presente no grupo de discussão.""","GDT 2: Trilhando caminhos para a indissociabilidade entre ensino, pesquisa e extensão como agente transformador do PET","","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
114,"“Os grupos PET realizem atividades junto às coordenações de curso com o intuito de combater o desligamento por reprovações, contemplando assim tanto os discentes em geral quanto os próprios integrantes do PET.”",GDT 3: Trilhando caminhos para o aprimoramento dos processos de seleção e desligamento de PETianos discentes e tutores,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
115,"Solicitar ao CLAA que oriente os tutores a comunicar previamente o grupo PET sobre sua saída do grupo (tempo esse definido de acordo com a realidade de cada PET), para que desse modo, o grupo PET possa se organizar de modo a convidar professores para conhecer a realidade PETiana, trazendo benefícios para a horizontalidade do grupo e evitar eventuais problemas pela ausência de um tutor, a partir de sua aprovação na Assembleia Geral do XX Sudeste PET.",GDT 3: Trilhando caminhos para o aprimoramento dos processos de seleção e desligamento de PETianos discentes e tutores,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
116,"""Que o XXV Enapet (2020) crie uma comissão para elaboração de uma Proposta de Portaria relativa a afastamentos excepcionais nos termos de resolução aprovada na Assembleia Geral do XXIV ENAPET de 2019. A Comissão deverá elaborar a proposta de Portaria até o início dos Encontros regionais de 2021 e submetida a discussão e aprovação no XXVI ENAPET de 2021.""",GDT 4: Trilhando caminhos para a efetividade da legislação do programa e do Manual de Orientações Básicas do PET (MOB),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
117,"“Que a assembleia do ENAPET 2020 aprove a inclusão, no MOB versão 2014, no item 2.4.5 Atribuições do Professor Tutor: - ""Participar de pelo menos um evento do PET regional ou nacional, em cada período de 3 anos como tutor(a)""",GDT 4: Trilhando caminhos para a efetividade da legislação do programa e do Manual de Orientações Básicas do PET (MOB),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
118,"“Considerando que no ano de 2021 está prevista a discussão Estatutária da CENAPET faz-se a seguinte proposta: que os Encontros Regionais e o ENAPET de 2021, junto com a discussão estatutária, também avaliem a necessidade de revisão/alterações da portaria 976 e das propostas do novo MOB e do Processo/procedimentos de Avaliação dos Grupos PET”.",GDT 4: Trilhando caminhos para a efetividade da legislação do programa e do Manual de Orientações Básicas do PET (MOB),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
119,"“Que a assembleia do ENAPET 2020 aprove a inclusão, no MOB versão 2014, no item 2.4.4 Atribuições das Pró-Reitorias de Graduação ou órgãos equivalentes: ""Incentivar, por meio do CLAA, que os(as) tutores(as) e os(as) estudantes participem dos eventos do PET, regional e nacional""",GDT 4: Trilhando caminhos para a efetividade da legislação do programa e do Manual de Orientações Básicas do PET (MOB),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
120,"""Que a partir do ano de 2021, todos os PET-IES se articulem com o MobilizaPET Nacional objetivando fundar uma célula do MobilizaPET em cada IES. O MobilizaPET Nacional fica com a tarefa de orientar cada IES a construir seu Mobiliza Local. As pautas das células do MobilizaPET - IES serão de acordo com as próprias realidades, mas para além delas, que o MobilizaPET também tenha e sugira pautas alinhadas com todas as células do Mobiliza, buscando alinhamento com a conjuntura nacional.""",GDT 5 - Trilhando caminhos para o fortalecimento do Programa de Educação Tutorial por meio do movimento estudantil Mobiliza PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
121,"""Que a partir do ano de 2021, quando os comitês locais estiverem consolidados, estes promovam eventos junto às suas IEs, em que informem o trabalho do MobilizaPET e sua importância, visto que muitos petianos não conhecem em detalhes as ações do grupo, para que assim cada PET se empenhe mais nos movimentos”. (Karen Oliveira, PET Conexões Cultura - UFES)",GDT 5 - Trilhando caminhos para o fortalecimento do Programa de Educação Tutorial por meio do movimento estudantil Mobiliza PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
122,"""Que a partir de 2021 a Comissão Nacional Mobiliza PET e as Comissões regionais realizem eventos informativos e formativos sobre as Comissões organizacionais e regimentos do PET, de modo online por plataformas como YouTube ou Google Meet, visando um melhor entendimento e conhecimento do programa, para que ajude na articulação e na execução da filosofia do PET.""",GDT 5 - Trilhando caminhos para o fortalecimento do Programa de Educação Tutorial por meio do movimento estudantil Mobiliza PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
123,"""De acordo com a criação dos Comitês Locais e as Comissões regionais, a partir de 2021 se criem perfis em redes sociais (instagram, facebook e afins), com o objetivo de divulgar suas ações, facilitar a articulação e diálogo com outras comissões e também dar mais visibilidade para os grupos PET.""",GDT 5 - Trilhando caminhos para o fortalecimento do Programa de Educação Tutorial por meio do movimento estudantil Mobiliza PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
124,"“Que a partir de 2021, o InterPET seja organizado pelos grupos PET, de forma remota ou presencial, a fim de manter e consolidar a integração entre os grupos PET de cada IES, e que os grupos planejem as datas do evento de acordo com sua realidade.”",GDT 6: Trilhando caminhos para criação e consolidação do INTERPET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
125,"“Que após o XX Sudeste PET, os grupos PET das mesmas IES se organizem para a realização de momentos formativos sobre a importância, manutenção e realização do InterPET e seus eventos, de forma remota ou presencial.”",GDT 6: Trilhando caminhos para criação e consolidação do INTERPET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
126,"“Sugere-se que os grupos do CLAA tenham, nos eventos internos do PET em suas IES, um momento de participação para divulgação de atividades e compromissos que estão sendo realizados pelo comitê, a fim de ter uma maior transparência e aproximação do CLAA com toda a comunidade petiana.”",GDT 7: Trilhando caminhos para a interlocução com o CLAA,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
127,"""Incluir no regimento do CLAA em 2020, para que comece a ser aplicado em 2021, que os grupos PETs deverão promover projetos de extensão, de ensino, ou de pesquisa, com temática sobre a população negra. Exemplo: discussão com debates e roda de conversas sobre essa temáticas, em eventos desenvolvidos pelos grupos PETs. Priorizarem palestrantes negros, indígenas e de comunidades tradicionais.""",GDT 8: Trilhando caminhos para a diversidade étnico-racial e de comunidades tradicionais dentro do Programa de Educação Tutorial,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
128,"""Que a diretoria da CENAPET, em uma próxima reunião com o MEC, encaminhe uma solicitação formal de inclusão de campo cadastral para nome social no SIGPET, assim como a opção de requerer o uso de nome social a qualquer momento, quer este conste ou não em quaisquer outros documentos. Será assegurado o uso nome de preferência do discente ou docente no sistema e, inclusive, nos dados bancários. O nome civil será utilizado apenas para fins burocráticos internos e não deverá ser exposto em lugares que todos possam ter acesso, a fim de garantir o respeito à dignidade, à diversidade e aos direitos das pessoas travestis, transexuais e transgêneros. A inclusão do nome social nas instâncias do Programa de Educação Tutorial como forma de combate à exclusão e discriminação, à luz das Regulamentações: fundamento da República Federativa previsto no art. 1º, III, da Constituição Federal , art. 3º da Constituição Federal que determina ser objetivo fundamental da República Federativa do Brasil constituir uma sociedade livre, justa e solidária, além da promoção do bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação, Decreto nº 8.727, de 28 de abril de 2016, da Presidência da República, que dispõe sobre o uso do nome social e o reconhecimento da identidade de gênero de pessoas travestis e transexuais no âmbito da administração pública federal direta, autárquica e fundacional, os Princípios de Yogyakarta, de novembro de 2006, que dispõem sobre a aplicação da legislação internacional de Direitos Humanos em relação à orientação sexual e identidade de gênero, Resolução CONSELHO NACIONAL DE JUSTIÇA – CNJ nº 270, de 11.12.2018 – D.J.E.: 12.12.2018.""",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
129,"Que a Comissão de Diversidade Nacional, instituída no XXIII ENAPET coordene uma pesquisa nacional entre os grupos PET com objetivo de identificar a diversidade existente nos grupos. Aprovada pela Assembleia Geral do SUDESTEPET e do ENAPET 2020, os resultados desta pesquisa devem ser apresentados nos Encontros Regionais e ENAPET de 2021.",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
130,"""Que cada grupo PET, ao realizar eventos e atividades que requeiram informações de cadastro, inclua opção para uso de nome social. O nome civil será utilizado apenas para fins burocráticos internos e não deverá ser exposto em lugares que todos possam ter acesso. Em caso de emissão de certificado, que seja possível ao solicitante escolher se será utilizado seu nome social ou civil.”",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
131,"“Construção de uma ouvidoria anônima ou com identificação opcional, para que práticas preconceituosas possam ser denunciadas e encaminhadas para órgãos especializados no assunto, como Centros de Referência, Delegacia da Mulher, ouvidoria da universidade, pelos grupos PETs.”",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
132,"“Que os grupos PET, ao planejarem atividades sobre diversidade sexual e de gênero, procurem se informar sobre as demandas do público alvo, entendendo a importância de se escutar a pessoa que possui local de fala e ouvir críticas construtivas para a melhora dos projetos relacionados ao tema. Além disso, que seja um trabalho contínuo, e não apenas nos meses designados”.",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
133,"“Que os Grupos PET adotem uma política contínua de atividades informativas acerca de questões relacionadas à diversidade de gênero, sempre com a participação de especialistas e pessoas legitimamente licenciadas para tratar do tema. Ex: falar de transfobia (que pessoas trans participem); falar de gênero neutro (que um linguista participe), etc.”",GDT 9: Trilhando caminhos para a diversidade sexual e de gênero dentro do Programa de Educação Tutorial,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
134,"“Os grupos PET poderiam desenvolver atividades tendo como público alvo os calouros, a fim de aumentar a visibilidade dos programas e auxiliar no desenvolvimento do senso de pertencimento desse segmento à universidade.”",GDT 10: Trilhando caminhos para PET interdisciplinares e Conexões de Saberes,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
135,"“Que sejam feitas cartilhas, em formato físico ou virtual, com as atividades desenvolvidas anualmente por cada grupo. Dessa forma, seria possível ampliar a visibilidade dos grupos PET perante a IES e a comunidade de inserção, bem como estimular o interesse de graduandos em participar do programa.”",GDT 10: Trilhando caminhos para PET interdisciplinares e Conexões de Saberes,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
136,"“Que a diretoria da CENAPET crie em seu website uma aba para apresentação dos grupos PET Institucionais, de modo a reconhecer a existência e a importância desses grupos PET como membros da Comunidade Petiana, após a aprovação na Assembleia Geral do ENAPET 2020.”",GDT 11 - Trilhando caminhos para os grupos de educação tutorial institucionais (GET ou PET Institucional),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
137,"“Que os eventos regionais e nacionais do PET criem espaços de discussão sobre Grupos PETs Institucionais ou GETs em seus eventos, de forma a visar ao aumento da visibilidade desses grupos e à sua inclusão, após a aprovação na Assembleia Geral do ENAPET 2020.”",GDT 11 - Trilhando caminhos para os grupos de educação tutorial institucionais (GET ou PET Institucional),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
138,"“Que os CLAAs das IES que apresentam Grupos PET Institucionais ou GETs encaminhe uma Carta Aberta sobre PETs Institucionais e GETs às Pró-reitorias de Graduação, de modo a apresentar as demandas desses grupos com relação ao custeio, às bolsas de discentes, à bolsa para tutores, bem como à padronização de regras, após a aprovação na Assembleia Geral do XX Sudeste PET.”",GDT 11 - Trilhando caminhos para os grupos de educação tutorial institucionais (GET ou PET Institucional),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
139,"“Que a Diretoria da CENAPET redija um documento de orientações para nortear a criação e 453 manutenção de grupos PET Institucionais ou GETs, visando à padronização do custeio, ao número 454 de bolsas e ao funcionamento, com o objetivo de reduzir as discrepâncias encontradas nesses grupos 455 e de garantir condições mínimas para seu funcionamento, após aprovação na Assembleia Geral do 456 ENAPET 2020.”",GDT 11 - Trilhando caminhos para os grupos de educação tutorial institucionais (GET ou PET Institucional),"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
140,"""Que os grupos PET desenvolvam em suas IES, a partir de 2021, pelo menos uma vez ao ano, uma atividade voltada especificamente à visibilidade petiana, a fim ampliar nesses espaços o conhecimento sobre o Programa de Educação Tutorial, fortalecendo sua importância para a educação do país. Fica a critério de cada grupo realizar a atividade conjuntamente a outros grupos PET ou não.""",GDT 12 - Trilhando caminhos para a visibilidade PETiana,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
141,"""Sugere-se que os grupos PET responsáveis apliquem um formulário para os estudantes da graduação, de modo a avaliar o interesse dos alunos acerca das atividades de ensino e, a partir disso, considerar a inserção dessas no planejamento.""",GDT 12 - Trilhando caminhos para a visibilidade PETiana,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
142,"""Que os grupos PET promovam atividades de divulgação de trabalhos em 470 ambientes externos às IES, como em escolas, praças, empresas, etc., de modo a ficar a cargo de cada 471 grupo grupo decidir o ambiente de realização dos eventos, a fim de aumentar a visibilidade dos 472 trabalhos que o PET realiza.""",GDT 12 - Trilhando caminhos para a visibilidade PETiana,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
143,"“Que a Diretoria da CENAPET realize uma ampla discussão nos PETs do país sobre o papel do PET como um programa auxiliar na permanência estudantil, de forma a diminuir o papel meritocrático dos processos seletivos para ingressar no programa, que valorizam e selecionam os candidatos por meio do rendimento escolar, mas, em vez disso, acentuam o seu papel auxiliar na permanência dos estudantes, de modo a estimular o melhor rendimento dos alunos.”",GDT 13 - Trilhando caminhos para o PET como instrumento de permanência estudantil,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
144,"“Que, após o XX Sudeste PET, as comissões organizadoras dos eventos regionais e nacionais mantenham a periodicidade anual para a realização dos eventos, e que eles sejam adequados gradativamente em presencial e virtual, ou seja, que os eventos continuem presenciais e sejam transmitidos online, visando uma maior inclusão e prezando pela qualidade, pois manter em apenas um dos dois formatos aumenta as possibilidades de exclusão.”","GDT 14 - Trilhando caminhos para a construção de eventos Estaduais, Regionais e Nacionais","","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
145,"“Sugere-se que a partir do SUDESTE PET 2020, as comissões organizadoras dos eventos regionais e nacionais do PET utilizem plataformas eletrônicas tais como TELEGRAM, Google Forms, Straw Pool, etc. para a votação dos encaminhamentos e das sugestões nas assembleias gerais dos eventos.”","GDT 14 - Trilhando caminhos para a construção de eventos Estaduais, Regionais e Nacionais","","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
146,"“Que, após o XX Sudeste PET, as comissões organizadoras dos eventos regionais e nacionais reservem um horário no cronograma dos eventos para a participação do Mobiliza PET.”","GDT 14 - Trilhando caminhos para a construção de eventos Estaduais, Regionais e Nacionais","","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
147,"""Que as comissões de diversidade PET, regionais e nacional, façam um levantamento no ano de 2021, à respeito dos grupos PET que conseguiram implantar em seus processos seletivos as reservas de vagas aprovadas nos ENAPETs de 2018 e 2019. Esse levantamento, deve constar em relatório final das atividades desenvolvidas pelas referidas comissões. Deve-se inclusive, destacar no referido documento as dificuldades e facilidades apontadas pelos grupos entrevistados em tal levantamento. O relatório final deste levantamento deverá também ser encaminhado aos grupos PETs via e-mail.”",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
148,"""Os grupos PET, a partir do XX Sudeste PET, deverão disponibilizar em suas atividades programadas (de acordo com apoio da IES e recursos disponíveis) mecanismos e estratégias de apoio à inclusão como intérpretes, legendas, materiais, equipamentos, parcerias com núcleos de atendimento e coletivos sociais, entre outros, para que tais atividades sejam o mais inclusivas possível. Os relatos dessas atividades deverão constar no relatório anual de atividades dos grupos PET.""",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
149,"""Que os grupos PET, após o XX Sudeste PET, promovam estudo interno sobre o tema capacitismo, por meio de leituras, lives, discussões, para que assim desmistifiquem o tema e o espaço PET seja cada vez mais acolhedor para pessoas com deficiência.""",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
150,"“Acrescentar ao planejamento anual dos PETs atividades de capacitação para os petianos sobre inclusão digital, inclusão de pessoas com deficiências auditivas, visuais, intelectuais e/ou físicas.”",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
151,"""Que ocorra uma expansão nos processos seletivos dos PETs no quesito socioeconômico do participante, com objetivo de diagnosticar e promover inclusão e acessibilidade digital ao participante."" (",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
152,"“Sugere-se desencorajar o uso de formas gráficas do tipo x/@ - como tentativas de neutralizar o gênero - em divulgações de eventos dos PETs, devido à dificuldade que essas formas geram às pessoas com deficiências visuais que utilizam programas de leitura por meio de som, bem como aos indivíduos com dislexia.”",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
153,"""Que, nos eventos PET, os grupos façam o possível para que haja acessibilidade e que divulguem com antecedência quais necessidades serão contempladas durante o evento.""",GDT 15 - Trilhando caminhos para a acessibilidade no programa PET,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
154,"“Que a Diretoria da CENAPET encaminhe os documentos finais referente às deliberações dos eventos Nacionais - ENAPET aos CLAAs de todas as IEs para seu conhecimento, avaliação e implementação em seus regimentos internos a partir de 2021.”",GDT 16 - Trilhando caminhos para a construção de regimentos internos,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
155,"“Os petianos e tutores devem analisar e discutir, na plenária, a particularidade de cursos que possuem carga horária prática cujos petianos estão encontrando dificuldades de manter um vínculo com a universidade em período remoto, uma vez que estão sendo ofertadas apenas atividades teóricas. Vale ressaltar que o vínculo ou não à IES implica diretamente na permanência do petiano no programa.”",GDT 17 - Trilhando caminhos para a adaptação do programa PET em tempos de pandemia,"","","",Encaminhamento,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
156,"“Durante a pandemia, nenhum petiano ou petiana será desligado(a) caso não esteja cursando matérias que, por razões sanitárias, não estão sendo oferecidas .”",GDT 17 - Trilhando caminhos para a adaptação do programa PET em tempos de pandemia,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
157,"“Durante a pandemia, os grupos deverão adaptar, na medida do possível, as atividades de ensino, pesquisa e extensão à modalidade remota, e no planejamento 2021 as atividades de ensino, pesquisa e extensão deverão adaptar-se, na medida do possível, à modalidade remota""",GDT 17 - Trilhando caminhos para a adaptação do programa PET em tempos de pandemia,"","","",Sugestão,Aprovado,"","",SUDESTEPET,XX SUDESTE PET UFU 2020 - Universidade e Sociedade: Trilhando caminhos pela Educação,2020,Outubro
